ACCESS_ENTITLEMENT,ACCESS_POINT,ACCESS_POINT_ID,ACCESS_POINT_DESCRIPTION,ACCESS_POINT_TYPE,PRIV_MODULE_DESCRIPTION
Create Purchase Orders,Generate Purchase Order,PO_GENERATE_PURCHASE_ORDER_PRIV,Allows a procurement agent to run the generate purchase order concurrent program.,Privilege,Procurement
Create Purchase Orders,Change Purchase Order,PO_CHANGE_PURCHASE_ORDER_PRIV,Allows a procurement agent to initiate changes to an approved purchase order ,Privilege,Procurement
Create Purchase Orders,Create Purchase Order from Requisitions,PO_CREATE_PURCHASE_ORDER_FROM_REQUISITIONS_PRIV,Allows a procurement agent to add a requisition line to a purchase order or update a purchase order line with a backing requisition line  The purchase order could be in an open or draft status ,Privilege,Procurement
Create Purchase Orders,Create Purchase Order,PO_CREATE_PURCHASE_ORDER_PRIV,Allows a procurement agent to create purchase orders without backing requisition lines and update purchase orders with or without backing requisition lines ,Privilege,Procurement
Create Purchase Orders,Import Purchase Order,PO_IMPORT_PURCHASE_ORDER_PRIV,Allows a procurement agent to run the Import Purchase Order concurrent program ,Privilege,Procurement
Create Purchase Orders,Manage Purchase Order by REST Service,PO_MANAGE_PO_REST_SERVICE_PRIV,Allows users to call all methods except administrative methods with the Purchase Order REST service ,Privilege,Procurement
Create Purchase Orders,Manage Purchase Order by Web Service,PO_MANAGE_PURCHASE_ORDER_WEB_SERVICE_PRIV,Allows management of purchase orders using web service ,Privilege,Procurement
Create Purchase Orders,Reassign Purchasing Document,PO_REASSIGN_PURCHASING_DOCUMENT_PRIV,Allows a procurement agent to run the Reassign Purchasing Documents concurrent program ,Privilege,Procurement
Create Payments,Create Payables Payment,AP_CREATE_PAYABLES_PAYMENT_PRIV,Allows creation of a single payment without submitting a payment process request ,Privilege,Procurement
Create Payments,Edit Payables Payment,AP_EDIT_PAYABLES_PAYMENT_PRIV,Allows editing of Oracle Fusion Payables payments ,Privilege,Procurement
Create Payments,Manage Payables Payment Process Request,AP_MANAGE_PAYABLES_PAYMENT_PROCESS_REQUEST_PRIV,Allows initiation of a single payment process request batch program for a particular payment process request selection and processing criteria ,Privilege,Procurement
Create Payments,Manage Payables Payment Process Request Template,AP_MANAGE_PAYABLES_PAYMENT_PROCESS_REQUEST_TEMPLATE_PRIV,Allows creation and management of payment process request templates with predefined selection criteria  payment attributes  and processing instructions ,Privilege,Procurement
Create Payments,Process Payables Payment Process Request,AP_PROCESS_PAYABLES_PAYMENT_PROCESS_REQUEST_PRIV,Allows processing of Oracle Fusion Payables payment process requests ,Privilege,Payables  Procure to Pay  Purchasing
Create Payments,Reissue Payables Payment,AP_REISSUE_PAYABLES_PAYMENT_PRIV,Allows correction of check printing issues by voiding the original payment and creating a new payment for the same set of invoices ,Privilege,Payables  Procure to Pay  Purchasing
Create Payments,Stop Payables Payment,AP_STOP_PAYABLES_PAYMENT_PRIV,Allows recording of requests to a bank to stop payment ,Privilege,Payables  Procure to Pay  Purchasing
Create Payments,Submit Payables Payment Process Request,AP_SUBMIT_PAYABLES_PAYMENT_PROCESS_REQUEST_PRIV,Allows initiation of a payment process request with invoice selection criteria and payment processing options ,Privilege,Payables  Procure to Pay  Purchasing
Enter Journals,Correct Journal Import Errors,GL_CORRECT_JOURNAL_IMPORT_ERRORS_PRIV,Allows correction of journal import errors.,Privilege,Procurement
Enter Journals,Manage Journal Requiring Approval,GL_APPROVE_JOURNAL_PRIV,Allows review of the journals requiring approval.,Privilege,Procurement
Enter Journals,Run Import Journals By Program Call,GL_RUN_IMPORT_JOURNALS_VIA_PROGRAM_CALL_PRIV,Allows submission of the journal import program by a program call.,Privilege,Procurement
Enter Journals,Run Import Journals Program,GL_RUN_IMPORT_JOURNALS_PROGRAM_PRIV,Allows submission of the journal import program using the Oracle Fusion Enterprise Scheduler Services.,Privilege,Procurement
Enter Journals,Generate Oracle Fusion General Ledger Revaluation,GL_GENERATE_GENERAL_LEDGER_CURRENCY_REVALUATION_PRIV,Allows revaluation of account balances.,Privilege,Financials
Enter Journals,Run Income Statement Closing Journals Program,GL_RUN_INCOME_STATEMENT_CLOSING_JOURNALS_PROGRAM_PRIV,Allows submission of the income statement closing journals program which creates closing journal entries.,Privilege,Financials
Enter Journals,Delete Journal,GL_DELETE_JOURNAL_PRIV,Allows deletion of journals.,Privilege,Financials
Enter Journals,Enter Journal for Non-Business Day Transactions,GL_ENTER_JOURNAL_FOR_NON_BUSINESS_DAY_TRANSACTIONS_PRIV,Allows entry of journals for non-business day transactions.,Privilege,Financials
Enter Journals,Generate Oracle Fusion General Ledger Allocation Formula,GL_GENERATE_GENERAL_LEDGER_ALLOCATION_FORMULA_PRIV,Allows generation of allocation rules or rule sets.,Privilege,Financials
Enter Journals,Override Journal Accounted Amount,GL_OVERRIDE_ACCOUNTED_AMOUNT_IN_JOURNAL_PRIV,Allows overrides of the accounted amount when entering journals.,Privilege,Financials
Enter Journals,Run Balance Sheet Closing Journals Program,GL_RUN_BALANCE_SHEET_CLOSING_JOURNALS_PROGRAM_PRIV,Allows submission of the create balance sheet closing journals program.,Privilege,Financials
